Name,Commentaire,Avis,Price,Owned,MetaCritic User Score,MetaCritic Score,HowLongToBeat Complete,HowLongToBeat Main,Scorix,steam_app_id,Release Date,Tags,Platform
Iron lung,,,7.79,Yes,6.2,,1.66,1.19,44.73,,,,
Super meat boy forever,,,16.79,Yes,5.2,66,11.36,4.33,9.41,,,,
Ori and the blind forest,,,19.99,No,8.2,88,12.54,8.94,8.14,,,,
Shadow of the colossus,,,,No,7.8,91,25.84,7.12,7.57,,,,
Pyre,,,19.5,Yes,7.9,85,20.81,11.14,5.65,,,,
LISA,,,19.99,Yes,8.8,77,24.85,10.93,5.43,,,,
inscryption,,,19.99,Yes,8.7,85,23.67,12.5,5.26,,,,
Bayonetta,,,19.99,No,8.3,90,41.77,11.5,4.8,,,,
doom eternal,,,39.99,No,8.8,88,27.09,14.35,4.69,,,,
Psychonauts 2,,,59.99,No,7.8,87,26.69,15.09,4.28,,,,
Slay the spire,,,7.81,No,7.7,89,192.85,12,3.67,,,,
Ocarina of time,,,,No,9.1,99,38.78,26.85,2.99,,,,
Potion Craft,,,8.77,Yes,7.1,76,36.06,19.82,2.87,,,,
Chained echoes,,,24.99,No,8.7,90,55.34,33.47,2.12,,,,
Infinifactory,,,24.5,Yes,9.2,70,62.61,35.89,1.78,,,,
red dead redemption 2,,,19.79,No,8.7,97,182.09,50.2,1.17,,,,
Dwarf fortress,,,28.99,Yes,8.5,93,200,74.6,0.82,,,,
Disco elisyum,,,,No,8.2,5,0,0,,,,,
Hades,,,,No,,,0,0,,1145360,,,
octopath traveler,,,29.99,No,8.7,84,0,0,,,,,
Death stranding,,,39.99,No,7.4,85,0,0,,,,,
Subnautica 2,,,,No,8.6,87,0,0,,,,,
Final fantasy tactics,,,,No,8.2,84,0,0,,,,,
Mother 2,,,,No,,,14.25,11.5,,,,,
Wild hearts,,,,No,7.9,79,0,0,,,,,
Terraria 100%,,,,No,,,0,0,,,,,
Tunic,,,28.99,No,7.8,85,0,0,,,,,
Alan Wake,Alan Wake -> Control -> Alan Wake 2,,,No,8.4,83,0,0,,,,,
Mario Galaxy 1,,,,No,9.1,97,0,0,,,,,
MGS 1,,,,No,,,0,0,,,,,
Dragon Quest XI,,,23.99,No,,,0,0,,,,,
Chrono Trigger,,,7.49,No,9.2,92,0,0,,,,,
FF7 Ever Crisis,,,,No,3.7,66,0,0,,,,,
Cocoon,,,22.99,No,7.9,88,0,0,,,,,
